stationID,name,address,latitude,longitude,bonus,status,contract_name,bike_stands,available_bike_stands,available_bikes,last_update
9,ANNEESSENS,ANNEESSENS - BLD MAURICE LEMONNIER/MAURICE LEMONNIERLAAN 42-44-46,50.844045,4.345048,FALSE,OPEN,Bruxelles-Capitale,35,2,33,2018-03-03T17:35:46+00:00
116,ULB PLAINE,ULB PLAINE - BOULEVARD DE LA PLAINE  (ENTREE ULB) / PLEINLAAN (INGANG VUB),50.818253,4.395749,FALSE,OPEN,Bruxelles-Capitale,25,17,8,2018-03-03T17:36:31+00:00
138,HOUFFALIZE,HOUFFALIZE - PLACE DE HOUFFALIZE /HOUFFALIZEPLEIN 58,50.865218,4.377735,FALSE,OPEN,Bruxelles-Capitale,25,3,22,2018-03-03T17:36:06+00:00
55,BOTANIQUE/KRUIDTUIN,BOTANIQUE/KRUIDTUIN - AVENUE GALILEE/GALILEELAAN,50.853248,4.366188,TRUE,OPEN,Bruxelles-Capitale,25,12,13,2018-03-03T17:36:20+00:00
223,WIELS,WIELS - AV.WIELEMANS CEUPPENS/LAAN 7,50.824055,4.326376,FALSE,OPEN,Bruxelles-Capitale,25,15,10,2018-03-03T17:36:18+00:00
238,UNION SAINT-GILLOISE / SINT-GILLIS UNIE,UNION SAINT-GILLOISE / SINT-GILLIS UNIE - CH DE BRUXELLES 366-362 / BRUSSELSESTEENWEG 366-362,50.820278,4.330802,FALSE,OPEN,Bruxelles-Capitale,20,13,7,2018-03-03T17:36:34+00:00
282,CENTENAIRE / EEUWFEEST,CENTENAIRE / EEUWFEEST - BOULEVARD DU CENTENAIRE / EEUWFEESTLAAN,50.890522,4.345112,FALSE,OPEN,Bruxelles-Capitale,25,10,15,2018-03-03T17:35:48+00:00
216,ARISTIDE BRIAND,ARISTIDE BRIAND - CH DE MONS 718 a 720 / BERGENSESTEENWEG 718 tot 720,50.828873,4.303918,FALSE,OPEN,Bruxelles-Capitale,25,5,18,2018-03-03T17:36:20+00:00
33,MORT SUBITE,MORT SUBITE - RUE MONTAGNE AUX-HERBES-POTAGERES (FACE N?? 7)/WARMOESBERG (TEGENOVER N??7),50.848701,4.356055,FALSE,OPEN,Bruxelles-Capitale,25,0,25,2018-03-03T17:36:37+00:00
288,HOUZEAU,HOUZEAU - AVENUE HOUZEAU 10 / HOUZEAULAAN 10,50.802711,4.358842,FALSE,OPEN,Bruxelles-Capitale,20,11,9,2018-03-03T17:38:39+00:00
